source_year,target_year,n_citations,n_available_papers,citations_per_available_paper
2025,1956,1,10,0.1
2025,1957,3,10,0.3
2025,1958,2,7,0.2857142857142857
2025,1960,4,10,0.4
2025,1961,1,6,0.16666666666666666
2025,1962,1,7,0.14285714285714285
2025,1963,4,5,0.8
2025,1964,2,14,0.14285714285714285
2025,1965,7,15,0.4666666666666667
2025,1966,2,12,0.16666666666666666
2025,1967,8,21,0.38095238095238093
2025,1968,2,8,0.25
2025,1969,3,20,0.15
2025,1970,5,21,0.23809523809523808
2025,1971,3,19,0.15789473684210525
2025,1972,9,23,0.391304347826087
2025,1973,9,15,0.6
2025,1974,5,13,0.38461538461538464
2025,1975,5,19,0.2631578947368421
2025,1976,6,19,0.3157894736842105
2025,1977,16,21,0.7619047619047619
2025,1978,4,18,0.2222222222222222
2025,1979,6,24,0.25
2025,1980,11,27,0.4074074074074074
2025,1981,12,22,0.5454545454545454
2025,1982,9,26,0.34615384615384615
2025,1983,11,30,0.36666666666666664
2025,1984,5,23,0.21739130434782608
2025,1985,8,30,0.26666666666666666
2025,1986,9,28,0.32142857142857145
2025,1987,12,40,0.3
2025,1988,9,47,0.19148936170212766
2025,1989,37,53,0.6981132075471698
2025,1990,14,71,0.19718309859154928
2025,1991,20,53,0.37735849056603776
2025,1992,24,87,0.27586206896551724
2025,1993,21,85,0.24705882352941178
2025,1994,27,97,0.27835051546391754
2025,1995,30,99,0.30303030303030304
2025,1996,37,108,0.3425925925925926
2025,1997,53,106,0.5
2025,1998,52,127,0.4094488188976378
2025,1999,43,136,0.3161764705882353
2025,2000,54,189,0.2857142857142857
2025,2001,56,189,0.2962962962962963
2025,2002,74,199,0.37185929648241206
2025,2003,64,222,0.2882882882882883
2025,2004,124,261,0.47509578544061304
2025,2005,86,292,0.2945205479452055
2025,2006,156,301,0.5182724252491694
2025,2007,79,346,0.22832369942196531
2025,2008,155,376,0.4122340425531915
2025,2009,340,462,0.7359307359307359
2025,2010,132,492,0.2682926829268293
2025,2011,173,560,0.30892857142857144
2025,2012,222,673,0.3298662704309064
2025,2013,304,807,0.37670384138785623
2025,2014,686,1049,0.6539561487130601
2025,2015,1401,1520,0.9217105263157894
2025,2016,1271,2276,0.5584358523725835
2025,2017,1830,3445,0.5312046444121916
2025,2018,1838,5022,0.36598964555953806
2025,2019,3306,6767,0.48854736219890643
2025,2020,3533,8355,0.42286056253740273
2025,2021,4133,8833,0.46790444922449903
2025,2022,4374,8403,0.520528382720457
2025,2023,6389,9053,0.7057329062189329
2025,2024,6049,7403,0.8171011751992435
2025,2025,1930,3111,0.6203792992606879
2026,1889,1,2,0.5
2026,1902,1,1,1.0
2026,1923,1,2,0.5
2026,1936,1,3,0.3333333333333333
2026,1938,1,3,0.3333333333333333
2026,1946,2,4,0.5
2026,1948,1,4,0.25
2026,1952,2,9,0.2222222222222222
2026,1954,1,6,0.16666666666666666
2026,1958,1,7,0.14285714285714285
2026,1963,1,5,0.2
2026,1964,2,14,0.14285714285714285
2026,1966,2,12,0.16666666666666666
2026,1967,2,21,0.09523809523809523
2026,1968,2,8,0.25
2026,1971,1,19,0.05263157894736842
2026,1972,1,23,0.043478260869565216
2026,1974,1,13,0.07692307692307693
2026,1975,1,19,0.05263157894736842
2026,1976,2,19,0.10526315789473684
2026,1977,4,21,0.19047619047619047
2026,1978,4,18,0.2222222222222222
2026,1980,1,27,0.037037037037037035
2026,1982,2,26,0.07692307692307693
2026,1983,2,30,0.06666666666666667
2026,1984,2,23,0.08695652173913043
2026,1985,4,30,0.13333333333333333
2026,1987,2,40,0.05
2026,1988,5,47,0.10638297872340426
2026,1989,5,53,0.09433962264150944
2026,1990,1,71,0.014084507042253521
2026,1991,7,53,0.1320754716981132
2026,1992,6,87,0.06896551724137931
2026,1993,2,85,0.023529411764705882
2026,1994,2,97,0.020618556701030927
2026,1995,6,99,0.06060606060606061
2026,1996,5,108,0.046296296296296294
2026,1997,8,106,0.07547169811320754
2026,1998,10,127,0.07874015748031496
2026,1999,2,136,0.014705882352941176
2026,2000,9,189,0.047619047619047616
2026,2001,6,189,0.031746031746031744
2026,2002,15,199,0.07537688442211055
2026,2003,13,222,0.05855855855855856
2026,2004,24,261,0.09195402298850575
2026,2005,13,292,0.04452054794520548
2026,2006,25,301,0.08305647840531562
2026,2007,12,346,0.03468208092485549
2026,2008,11,376,0.02925531914893617
2026,2009,50,462,0.10822510822510822
2026,2010,21,492,0.042682926829268296
2026,2011,22,560,0.039285714285714285
2026,2012,30,673,0.04457652303120357
2026,2013,55,807,0.06815365551425032
2026,2014,94,1049,0.08960915157292659
2026,2015,231,1520,0.15197368421052632
2026,2016,208,2276,0.0913884007029877
2026,2017,269,3445,0.07808417997097242
2026,2018,299,5022,0.059538032656312224
2026,2019,526,6767,0.07773016107580907
2026,2020,534,8355,0.06391382405745062
2026,2021,545,8833,0.06170044152609532
2026,2022,553,8403,0.06580982982268238
2026,2023,905,9053,0.0999668618137634
2026,2024,961,7403,0.12981223828177765
2026,2025,718,3111,0.2307939569270331
2026,2026,42,222,0.1891891891891892
