paper_id,year,referenceCount,citationCount,source_paper_id_x,total_refs,internal_refs,external_refs,external_ref_ratio,source_paper_id_y,observed_out_refs,source_year,backward_pool_size,ref_rate_per_available_paper,target_paper_id,observed_in_cites,mean_in_cites,median_in_cites,std_in_cites,citation_norm_year_mean,citation_z_year,paper_age,cites_per_year_alive,mean_by_age,median_by_age,std_by_age,citation_norm_age_mean,citation_z_age,period,internal_ref_ratio,internal_coverage_of_citations,internal_coverage_of_references
13500,2022,47.0,40.0,,0.0,0.0,0.0,0.0,,0.0,2022,44393,0.0,13500.0,1.0,2.0190408187552067,1.0,5.029536107100758,0.49528468702110096,-0.20261129397530578,5,0.2,2.0190408187552067,1.0,5.029536107100758,0.49528468702110096,-0.20261129397530578,pre_2023,,0.025,0.0
13501,2022,14.0,20.0,,0.0,0.0,0.0,0.0,,0.0,2022,44393,0.0,13501.0,1.0,2.0190408187552067,1.0,5.029536107100758,0.49528468702110096,-0.20261129397530578,5,0.2,2.0190408187552067,1.0,5.029536107100758,0.49528468702110096,-0.20261129397530578,pre_2023,,0.05,0.0
13502,2022,13.0,9.0,,0.0,0.0,0.0,0.0,,0.0,2022,44393,0.0,13502.0,1.0,2.0190408187552067,1.0,5.029536107100758,0.49528468702110096,-0.20261129397530578,5,0.2,2.0190408187552067,1.0,5.029536107100758,0.49528468702110096,-0.20261129397530578,pre_2023,,0.1111111111111111,0.0
13503,2022,0.0,27.0,,0.0,0.0,0.0,0.0,,0.0,2022,44393,0.0,13503.0,1.0,2.0190408187552067,1.0,5.029536107100758,0.49528468702110096,-0.20261129397530578,5,0.2,2.0190408187552067,1.0,5.029536107100758,0.49528468702110096,-0.20261129397530578,pre_2023,,0.037037037037037035,
13504,2022,32.0,71.0,,0.0,0.0,0.0,0.0,,0.0,2022,44393,0.0,13504.0,1.0,2.0190408187552067,1.0,5.029536107100758,0.49528468702110096,-0.20261129397530578,5,0.2,2.0190408187552067,1.0,5.029536107100758,0.49528468702110096,-0.20261129397530578,pre_2023,,0.014084507042253521,0.0
13505,2021,167.0,92.0,,0.0,0.0,0.0,0.0,,0.0,2021,35560,0.0,13505.0,1.0,2.5202083097475376,1.0,7.829554883053499,0.3967925969183774,-0.19416280139218614,6,0.16666666666666666,2.5202083097475376,1.0,7.829554883053499,0.3967925969183774,-0.19416280139218614,pre_2023,,0.010869565217391304,0.0
13506,2021,30.0,10.0,,0.0,0.0,0.0,0.0,,0.0,2021,35560,0.0,13506.0,1.0,2.5202083097475376,1.0,7.829554883053499,0.3967925969183774,-0.19416280139218614,6,0.16666666666666666,2.5202083097475376,1.0,7.829554883053499,0.3967925969183774,-0.19416280139218614,pre_2023,,0.1,0.0
13507,2021,99.0,209.0,,0.0,0.0,0.0,0.0,,0.0,2021,35560,0.0,13507.0,2.0,2.5202083097475376,1.0,7.829554883053499,0.7935851938367549,-0.06644161992829128,6,0.3333333333333333,2.5202083097475376,1.0,7.829554883053499,0.7935851938367549,-0.06644161992829128,pre_2023,,0.009569377990430622,0.0
13508,2021,27.0,81.0,,0.0,0.0,0.0,0.0,,0.0,2021,35560,0.0,13508.0,1.0,2.5202083097475376,1.0,7.829554883053499,0.3967925969183774,-0.19416280139218614,6,0.16666666666666666,2.5202083097475376,1.0,7.829554883053499,0.3967925969183774,-0.19416280139218614,pre_2023,,0.012345679012345678,0.0
13509,2021,31.0,182.0,,0.0,0.0,0.0,0.0,,0.0,2021,35560,0.0,13509.0,1.0,2.5202083097475376,1.0,7.829554883053499,0.3967925969183774,-0.19416280139218614,6,0.16666666666666666,2.5202083097475376,1.0,7.829554883053499,0.3967925969183774,-0.19416280139218614,pre_2023,,0.005494505494505495,0.0
